A:<48656> B:<12726>
A:<49830> B:<29926>
A:<11649> B:<15337>
A:<32454> B:<59497>
A:<48303> B:<32064>
A:<22494> B:<19159>
A:<50516> B:<33772>
A:<1921> B:<10941>
A:<22596> B:<59500>
A:<1666> B:<64285>
A:<26337> B:<29255>
A:<899> B:<20343>
A:<41712> B:<40150>
A:<40614> B:<53687>
A:<47718> B:<47276>
A:<52399> B:<17399>
A:<54868> B:<60401>
A:<8044> B:<44079>
A:<19951> B:<18598>
A:<61656> B:<53500>
A:<263> B:<39749>
A:<8774> B:<9396>
A:<52235> B:<37404>
A:<39514> B:<1580>
A:<32575> B:<12781>
A:<54691> B:<13340>
A:<58036> B:<65207>
A:<57717> B:<40528>
A:<6690> B:<54969>
A:<1979> B:<28080>
A:<3132> B:<47738>
A:<11570> B:<11150>
A:<57676> B:<1527>
A:<2427> B:<52645>
A:<40757> B:<21468>
A:<46797> B:<22035>
A:<39139> B:<47630>
A:<44357> B:<34395>
A:<37837> B:<36438>
A:<20806> B:<47541>
A:<14873> B:<17767>
A:<57914> B:<58850>
A:<6121> B:<5959>
A:<13632> B:<62534>
A:<33779> B:<22443>
A:<34775> B:<50645>
A:<21561> B:<22367>
A:<39638> B:<24102>
A:<54018> B:<44757>
A:<55675> B:<53729>
A:<60471> B:<60039>
A:<40169> B:<52514>
A:<4818> B:<13233>
A:<47765> B:<28256>
A:<17940> B:<421>
A:<36337> B:<8199>
A:<57365> B:<6628>
A:<58439> B:<8743>
A:<43293> B:<55466>
A:<5451> B:<23516>
A:<41687> B:<37601>
A:<3542> B:<9088>
A:<29046> B:<54826>
A:<25461> B:<19065>
A:<58994> B:<47015>
A:<53272> B:<46732>
A:<31027> B:<9881>
A:<15260> B:<54812>
A:<55687> B:<40613>
A:<2988> B:<36126>
A:<9827> B:<63603>
A:<2108> B:<26181>
A:<12962> B:<36060>
A:<11038> B:<6894>
A:<64892> B:<20929>
A:<52727> B:<57614>
A:<30803> B:<21808>
A:<23878> B:<2538>
A:<31041> B:<171>
A:<11812> B:<47206>
A:<10396> B:<55714>
A:<25489> B:<61196>
A:<44907> B:<29473>
A:<50514> B:<34417>
A:<21484> B:<24289>
A:<29456> B:<19988>
A:<3100> B:<22593>
A:<18783> B:<21266>
A:<6329> B:<47453>
A:<3676> B:<17780>
A:<45116> B:<15768>
A:<10211> B:<63631>
A:<22627> B:<13302>
A:<5086> B:<29592>
A:<16762> B:<62334>
A:<9312> B:<12137>
A:<61577> B:<31112>
A:<4536> B:<51556>
A:<11048> B:<11805>
A:<43647> B:<54250>
A:<709> B:<41095>
A:<18435> B:<51923>
A:<51960> B:<23754>
A:<57517> B:<644>
A:<53476> B:<12504>
A:<14212> B:<60808>
A:<58364> B:<62679>
A:<65179> B:<63096>
A:<39057> B:<34766>
A:<64755> B:<30125>
A:<51704> B:<29532>
A:<13026> B:<59652>
A:<52655> B:<2417>
A:<40192> B:<39676>
A:<17967> B:<9193>
A:<121> B:<55888>
A:<34816> B:<47127>
A:<1642> B:<44639>
A:<49055> B:<8826>
A:<23275> B:<57234>
A:<31129> B:<47330>
A:<53115> B:<17785>
A:<54989> B:<64312>
A:<29429> B:<38185>
A:<56939> B:<39472>
A:<1897> B:<51974>
A:<13002> B:<57954>
A:<43557> B:<60850>
A:<15013> B:<46831>
A:<5396> B:<24499>
A:<49438> B:<48766>
A:<62766> B:<56429>
A:<14995> B:<19493>
A:<46434> B:<54819>
A:<44635> B:<32546>
A:<43500> B:<45407>
A:<45620> B:<2044>
A:<17478> B:<26559>
A:<19119> B:<2587>
A:<6755> B:<60160>
A:<65463> B:<27170>
A:<36665> B:<34751>
A:<35339> B:<27229>
A:<37727> B:<56355>
A:<55592> B:<54315>
A:<28906> B:<37192>
A:<37876> B:<36261>
A:<58824> B:<41472>
A:<30584> B:<19402>
A:<51535> B:<47437>
A:<43900> B:<11878>
A:<59140> B:<37343>
A:<48145> B:<65349>
A:<56709> B:<25179>
A:<12193> B:<24746>
A:<42310> B:<52827>
A:<29875> B:<16170>
A:<24123> B:<27396>
A:<15962> B:<19560>
A:<54724> B:<61418>
A:<4993> B:<3680>
A:<10371> B:<57222>
A:<34031> B:<22978>
A:<24951> B:<59699>
A:<59211> B:<6682>
A:<28901> B:<1059>
A:<63063> B:<6278>
A:<64579> B:<42696>
A:<60481> B:<917>
A:<55236> B:<12782>
A:<14663> B:<14280>
A:<22962> B:<10951>
A:<1553> B:<26169>
A:<32386> B:<36592>
A:<42371> B:<3544>
A:<51640> B:<20422>
A:<35555> B:<20304>
A:<62589> B:<64718>
A:<16428> B:<35956>
A:<58279> B:<7903>
A:<23933> B:<49630>
A:<9068> B:<57569>
A:<22035> B:<42151>
A:<45000> B:<46840>
A:<29088> B:<15609>
A:<54444> B:<49923>
A:<43925> B:<45026>
A:<36509> B:<55592>
A:<5706> B:<59962>
A:<23925> B:<7906>
A:<62099> B:<57740>
A:<54572> B:<47080>
A:<52062> B:<51463>
A:<5421> B:<46976>
A:<3725> B:<35898>
A:<23389> B:<37803>
A:<42629> B:<36801>
A:<34775> B:<31180>
A:<52527> B:<16736>
A:<19333> B:<37635>
A:<35087> B:<37948>
A:<21757> B:<6933>
A:<23721> B:<42481>
A:<10972> B:<55434>
A:<48589> B:<1432>
A:<55157> B:<36513>
A:<53247> B:<22791>
A:<57923> B:<63534>
A:<42492> B:<34471>
A:<16155> B:<27147>
A:<28658> B:<29591>
A:<1142> B:<8938>
A:<38783> B:<3313>
A:<41205> B:<54927>
A:<48221> B:<10772>
A:<6942> B:<29021>
A:<4890> B:<52596>
A:<30963> B:<2045>
A:<52258> B:<42883>
A:<64254> B:<5248>
A:<53617> B:<5083>
A:<13674> B:<3336>
A:<27754> B:<14234>
A:<30460> B:<7081>
A:<28480> B:<16849>
A:<14900> B:<57769>
A:<58988> B:<21671>
A:<62968> B:<30729>
A:<10010> B:<57539>
A:<61681> B:<25808>
A:<60231> B:<50890>
A:<40074> B:<37926>
A:<54120> B:<21725>
A:<40127> B:<63830>
A:<21254> B:<831>
A:<40963> B:<36144>
A:<5752> B:<54101>
A:<12426> B:<22190>
A:<5662> B:<11428>
A:<56471> B:<19154>
A:<46672> B:<37940>
A:<33739> B:<59935>
A:<28599> B:<18055>
A:<15188> B:<63857>
A:<50134> B:<28209>
A:<59353> B:<16200>
A:<33836> B:<30846>
A:<45816> B:<32557>
A:<52009> B:<11790>
A:<56211> B:<52605>
A:<6121> B:<5250>
A:<28063> B:<11739>
A:<33139> B:<35436>
A:<56254> B:<10162>
A:<33405> B:<48519>
A:<64390> B:<57474>
A:<3807> B:<32632>
A:<17597> B:<5074>
A:<17022> B:<21664>
A:<61> B:<27661>
A:<27238> B:<41874>
A:<55278> B:<46942>
A:<57966> B:<52915>
A:<29262> B:<50300>
A:<28243> B:<40833>
A:<31274> B:<53225>
A:<18905> B:<2297>
A:<2735> B:<47515>
A:<41080> B:<22906>
A:<3098> B:<65413>
A:<2370> B:<31537>
A:<15581> B:<36423>
A:<59304> B:<34711>
A:<21330> B:<53256>
A:<35704> B:<34504>
A:<12461> B:<33518>
A:<46367> B:<45444>
A:<10005> B:<10710>
A:<14286> B:<38978>
A:<16288> B:<40475>
A:<12363> B:<30611>
A:<40200> B:<11613>
A:<62969> B:<64145>
A:<51110> B:<63892>
A:<2897> B:<45951>
A:<30281> B:<23774>
A:<58401> B:<63727>
A:<29445> B:<46429>
A:<10010> B:<24720>
A:<36416> B:<6171>
A:<39326> B:<21620>
A:<51148> B:<7350>
A:<59253> B:<5197>
A:<4566> B:<21503>
A:<42752> B:<12120>
A:<35710> B:<18077>
A:<30589> B:<12003>
A:<37482> B:<45516>
A:<49948> B:<37722>
A:<13541> B:<64177>
A:<16059> B:<12201>
A:<37316> B:<9955>
A:<59958> B:<4016>
A:<26484> B:<34775>
A:<29312> B:<56511>
A:<18963> B:<33967>
A:<18904> B:<4625>
A:<52515> B:<25180>
A:<48120> B:<39752>
A:<4455> B:<28907>
A:<2869> B:<23172>
A:<7272> B:<49042>
A:<45360> B:<46003>
A:<56997> B:<34510>
A:<53838> B:<10591>
A:<22354> B:<48637>
A:<42952> B:<39518>
A:<55494> B:<40040>
A:<44707> B:<2254>
A:<26572> B:<61117>
A:<57328> B:<41030>
A:<13984> B:<7896>
A:<36642> B:<62855>
A:<58103> B:<58548>
A:<55654> B:<18694>
A:<38855> B:<49225>
A:<24294> B:<41727>
A:<12710> B:<28528>
A:<9407> B:<32839>
A:<6088> B:<58417>
A:<5933> B:<62868>
A:<13524> B:<53882>
A:<37351> B:<27631>
A:<46097> B:<14075>
A:<39074> B:<39167>
A:<45757> B:<57169>
A:<1960> B:<47305>
A:<37345> B:<47635>
A:<37381> B:<39522>
A:<31128> B:<7766>
A:<17088> B:<24816>
A:<53441> B:<4439>
A:<36844> B:<2929>
A:<65406> B:<47355>
A:<25155> B:<49948>
A:<62094> B:<64755>
A:<12348> B:<21595>
A:<9837> B:<53258>
A:<35993> B:<21047>
A:<40924> B:<9144>
A:<9299> B:<50158>
A:<34527> B:<36724>
A:<7535> B:<7023>
A:<50526> B:<23456>
A:<27083> B:<64463>
A:<43458> B:<64190>
A:<45135> B:<42368>
A:<54860> B:<51663>
A:<61075> B:<9203>
A:<10564> B:<38849>
A:<27362> B:<36288>
A:<20398> B:<56115>
A:<718> B:<14611>
A:<65079> B:<60153>
A:<25146> B:<32784>
A:<52705> B:<55130>
A:<25375> B:<11030>
A:<45152> B:<24083>
A:<50651> B:<24617>
A:<25467> B:<56640>
A:<7994> B:<64046>
A:<32271> B:<23382>
A:<42723> B:<4069>
A:<21036> B:<49250>
A:<14989> B:<34161>
A:<22668> B:<956>
A:<65056> B:<57278>
A:<9226> B:<9555>
A:<33000> B:<63602>
A:<9781> B:<29039>
A:<27539> B:<22173>
A:<14276> B:<46831>
A:<46967> B:<32244>
A:<29574> B:<19825>
A:<58511> B:<20396>
A:<31918> B:<11979>
A:<14194> B:<41654>
A:<17342> B:<54655>
A:<15507> B:<58502>
A:<64850> B:<58729>
A:<36374> B:<46925>
A:<61979> B:<38839>
A:<34335> B:<59366>
A:<30647> B:<14229>
A:<63054> B:<18471>
A:<31506> B:<13727>
A:<55542> B:<42489>
A:<61399> B:<36561>
A:<56992> B:<30116>
A:<41100> B:<63336>
A:<53675> B:<38963>
A:<3469> B:<57963>
A:<18024> B:<10995>
A:<39937> B:<25541>
A:<37870> B:<59861>
A:<23726> B:<10628>
A:<61619> B:<43485>
A:<63298> B:<44481>
A:<19271> B:<21990>
A:<34587> B:<2073>
A:<29677> B:<34889>
A:<42925> B:<47462>
A:<35419> B:<54018>
A:<4386> B:<55139>
A:<31181> B:<34716>
A:<5728> B:<5964>
A:<43086> B:<59451>
A:<24930> B:<19270>
A:<30952> B:<20979>
A:<42326> B:<32023>
A:<38463> B:<24591>
A:<27445> B:<50958>
A:<5961> B:<27949>
A:<23082> B:<29740>
A:<55306> B:<7874>
A:<32534> B:<15212>
A:<39248> B:<64963>
A:<63402> B:<13827>
A:<36885> B:<27915>
A:<47467> B:<28785>
A:<47145> B:<41788>
A:<23886> B:<53923>
A:<6393> B:<61365>
A:<45767> B:<29667>
A:<23210> B:<25556>
A:<57023> B:<14204>
A:<26319> B:<32614>
A:<54324> B:<40026>
A:<30370> B:<41584>
A:<46995> B:<44241>
A:<12866> B:<17475>
A:<44374> B:<11304>
A:<65060> B:<48297>
A:<3297> B:<47209>
A:<15086> B:<63794>
A:<51460> B:<61747>
A:<30841> B:<62880>
A:<54344> B:<48348>
A:<25989> B:<30357>
A:<39694> B:<43134>
A:<39878> B:<32285>
A:<5272> B:<36482>
A:<46789> B:<24712>
A:<59108> B:<37927>
A:<41871> B:<23920>
A:<14329> B:<16668>
A:<18351> B:<51436>
A:<53357> B:<26781>
A:<50387> B:<10799>
A:<47269> B:<5455>
A:<41749> B:<16219>
A:<36200> B:<21524>
A:<40061> B:<52769>
A:<9694> B:<27294>
A:<37751> B:<56233>
A:<13338> B:<8060>
A:<53888> B:<39536>
A:<37816> B:<52318>
A:<33966> B:<40584>
A:<23631> B:<40067>
A:<57480> B:<1645>
A:<64125> B:<21186>
A:<37140> B:<55738>
A:<14458> B:<26950>
A:<61843> B:<35768>
A:<1654> B:<8502>
A:<40820> B:<20957>
A:<53741> B:<47454>
A:<47144> B:<13862>
A:<64308> B:<27065>
A:<17327> B:<25901>
A:<58452> B:<41228>
A:<16894> B:<55688>
A:<2028> B:<38086>
A:<59480> B:<31007>
A:<59043> B:<15105>
A:<62367> B:<24504>
A:<65401> B:<57629>
A:<16541> B:<61403>
A:<43194> B:<23970>
A:<1888> B:<15054>
A:<15368> B:<28507>
A:<3994> B:<46306>
A:<48963> B:<31103>
A:<38629> B:<4244>
A:<10633> B:<43674>
A:<15239> B:<53109>
A:<15828> B:<22175>
A:<993> B:<62749>
A:<30863> B:<64680>
A:<25062> B:<18761>
A:<59124> B:<65032>
A:<9040> B:<33349>
A:<37883> B:<8125>
A:<41507> B:<25207>
A:<40823> B:<38386>
A:<3923> B:<55403>
A:<8070> B:<19938>
A:<32740> B:<63360>
A:<25259> B:<12718>
A:<58582> B:<43699>
A:<45356> B:<28755>
A:<23409> B:<58980>
A:<12612> B:<520>
A:<50802> B:<18374>
A:<50733> B:<7275>
A:<3378> B:<23915>
A:<21539> B:<62573>
A:<10417> B:<3005>
A:<30569> B:<43283>
A:<64604> B:<36956>
A:<15486> B:<23067>
A:<64554> B:<27264>
A:<13848> B:<55544>
A:<47169> B:<52074>
A:<35213> B:<12701>
A:<18065> B:<4714>
A:<8220> B:<32271>
A:<37463> B:<5814>
A:<9223> B:<5428>
A:<6500> B:<35562>
A:<44655> B:<27496>
A:<30945> B:<42178>
A:<49391> B:<2717>
A:<45144> B:<28953>
A:<23349> B:<6208>
A:<46225> B:<33377>
A:<42360> B:<20414>
A:<41823> B:<10884>
A:<8321> B:<22819>
A:<7098> B:<55403>
A:<44109> B:<54569>
A:<42910> B:<61788>
A:<49852> B:<20501>
A:<65216> B:<3943>
A:<17271> B:<42412>
A:<24382> B:<3983>
A:<31544> B:<29949>
A:<5149> B:<319>
A:<5502> B:<20050>
A:<10148> B:<47910>
A:<3547> B:<1584>
A:<65516> B:<22827>
A:<7791> B:<1982>
A:<7317> B:<37847>
A:<53670> B:<29723>
A:<22869> B:<17540>
A:<1027> B:<63480>
A:<8856> B:<49186>
A:<53601> B:<59549>
A:<15618> B:<39386>
A:<3163> B:<52766>
A:<44138> B:<60798>
A:<44675> B:<62483>
A:<52796> B:<39811>
A:<55955> B:<46445>
A:<14142> B:<3913>
A:<40265> B:<50535>
A:<31489> B:<29075>
A:<49809> B:<26063>
A:<28493> B:<16775>
A:<43306> B:<57106>
A:<7604> B:<64135>
A:<7692> B:<26220>
A:<25376> B:<578>
A:<36389> B:<52577>
A:<65391> B:<32247>
A:<42369> B:<12850>
A:<49489> B:<39912>
A:<34045> B:<41470>
A:<36381> B:<62388>
A:<32108> B:<45538>
A:<63338> B:<17896>
A:<7118> B:<41178>
A:<42180> B:<3062>
A:<27666> B:<62101>
A:<58594> B:<63444>
A:<13311> B:<30223>
A:<39364> B:<54787>
A:<36960> B:<35905>
A:<15079> B:<45438>
A:<47321> B:<64240>
A:<3840> B:<14310>
A:<55426> B:<60845>
A:<35234> B:<51430>
A:<3044> B:<35498>
A:<21058> B:<42454>
A:<10900> B:<59002>
A:<11235> B:<57281>
A:<17383> B:<57116>
A:<41497> B:<46223>
A:<8892> B:<2820>
A:<54254> B:<10209>
A:<31361> B:<40135>
A:<36514> B:<26859>
A:<45989> B:<8505>
A:<49595> B:<53848>
A:<31741> B:<34486>
A:<42246> B:<59788>
A:<30320> B:<37110>
A:<40756> B:<45077>
A:<58763> B:<23661>
A:<12214> B:<59068>
A:<41992> B:<50559>
A:<54812> B:<4>
A:<21489> B:<45893>
A:<62569> B:<55403>
A:<34466> B:<15933>
A:<54386> B:<20210>
A:<54470> B:<42494>
A:<62809> B:<39393>
A:<2079> B:<16239>
A:<60464> B:<61992>
A:<63158> B:<31263>
A:<35523> B:<57113>
A:<30487> B:<640>
A:<53491> B:<10845>
A:<16919> B:<56208>
A:<6463> B:<2900>
A:<36453> B:<53275>
A:<34674> B:<14759>
A:<18886> B:<41738>
A:<829> B:<36264>
A:<26029> B:<41613>
A:<28627> B:<151>
A:<1109> B:<7718>
A:<53229> B:<1914>
A:<20378> B:<51659>
A:<32272> B:<62182>
A:<65337> B:<10867>
A:<63078> B:<3437>
A:<32939> B:<33272>
A:<5218> B:<9181>
A:<64557> B:<15907>
A:<51613> B:<32763>
A:<51022> B:<182>
A:<48179> B:<51132>
A:<33833> B:<54106>
A:<41835> B:<34938>
A:<65364> B:<36230>
A:<6236> B:<63709>
A:<11871> B:<3947>
A:<60061> B:<3198>
A:<45818> B:<61698>
A:<47148> B:<51861>
A:<22790> B:<29741>
A:<64193> B:<19159>
A:<51384> B:<64188>
A:<58964> B:<52543>
A:<48498> B:<51217>
A:<18624> B:<24017>
A:<60861> B:<20672>
A:<46321> B:<18333>
A:<25486> B:<57666>
A:<49071> B:<46411>
A:<48620> B:<49478>
A:<55957> B:<41004>
A:<42791> B:<29307>
A:<57330> B:<19260>
A:<6255> B:<53027>
A:<26160> B:<148>
A:<53879> B:<55245>
A:<57247> B:<4320>
A:<64022> B:<27950>
A:<38678> B:<28462>
A:<18916> B:<45446>
A:<60340> B:<37264>
A:<53556> B:<42065>
A:<56638> B:<21625>
A:<16867> B:<19557>
A:<39346> B:<19153>
A:<38825> B:<38038>
A:<57046> B:<48215>
A:<35644> B:<4579>
A:<38382> B:<47002>
A:<36967> B:<35142>
A:<26608> B:<25744>
A:<59360> B:<13404>
A:<29737> B:<54240>
A:<38827> B:<43727>
A:<24046> B:<34976>
A:<32471> B:<62120>
A:<23202> B:<65437>
A:<42180> B:<46267>
A:<30933> B:<28808>
A:<19994> B:<32677>
A:<33581> B:<59182>
A:<53357> B:<42580>
A:<55919> B:<43933>
A:<59323> B:<42460>
A:<41863> B:<59920>
A:<42896> B:<3341>
A:<10857> B:<65189>
A:<16599> B:<57131>
A:<2486> B:<3369>
A:<23086> B:<52209>
A:<48380> B:<15412>
A:<30802> B:<54673>
A:<11475> B:<27422>
A:<14138> B:<30899>
A:<14896> B:<53969>
A:<57613> B:<3627>
A:<28579> B:<40573>
A:<12174> B:<60974>
A:<12542> B:<51277>
A:<37514> B:<61958>
A:<58458> B:<56362>
A:<63402> B:<14492>
A:<55206> B:<60864>
A:<2683> B:<13585>
A:<17597> B:<36471>
A:<44515> B:<40518>
A:<34482> B:<7541>
A:<9473> B:<22928>
A:<33270> B:<28599>
A:<59> B:<10253>
A:<41945> B:<25958>
A:<31523> B:<35859>
A:<22389> B:<16904>
A:<47806> B:<22134>
A:<18098> B:<1713>
A:<52647> B:<38194>
A:<44172> B:<27552>
A:<53914> B:<20507>
A:<62658> B:<25541>
A:<12579> B:<16339>
A:<45446> B:<48369>
A:<53305> B:<12606>
A:<62068> B:<10744>
A:<24294> B:<23141>
A:<27783> B:<5866>
A:<37118> B:<63220>
A:<5725> B:<61808>
A:<40130> B:<12140>
A:<24342> B:<24623>
A:<13488> B:<41439>
A:<23604> B:<58729>
A:<22988> B:<55456>
A:<63834> B:<51910>
A:<33373> B:<12159>
A:<1613> B:<25>
A:<40249> B:<40544>
A:<51797> B:<30334>
A:<38163> B:<40655>
A:<7518> B:<53899>
A:<63701> B:<46770>
A:<11295> B:<54615>
A:<7190> B:<20107>
A:<63681> B:<40374>
A:<46912> B:<47691>
A:<5774> B:<29352>
A:<16875> B:<59077>
A:<21616> B:<18545>
A:<23181> B:<60486>
A:<7616> B:<33847>
A:<59230> B:<46359>
A:<13441> B:<12242>
A:<39231> B:<16038>
A:<10384> B:<41271>
A:<44994> B:<45079>
A:<50230> B:<29851>
A:<9794> B:<620>
A:<33586> B:<56885>
A:<12295> B:<3745>
A:<56473> B:<45853>
A:<2033> B:<26666>
A:<20330> B:<24789>
A:<293> B:<23621>
A:<43641> B:<2981>
A:<9220> B:<64283>
A:<56789> B:<33155>
A:<28228> B:<46524>
A:<60376> B:<60849>
A:<59562> B:<33339>
A:<3531> B:<52016>
A:<33073> B:<61025>
A:<47870> B:<31452>
A:<58183> B:<51436>
A:<53648> B:<34888>
A:<48299> B:<59718>
A:<31700> B:<60021>
A:<41733> B:<15222>
A:<47220> B:<60453>
A:<23286> B:<6123>
A:<65490> B:<10745>
A:<1529> B:<38837>
A:<25208> B:<45818>
A:<43776> B:<1944>
A:<1040> B:<30044>
A:<23505> B:<59314>
A:<58988> B:<10794>
A:<43559> B:<20190>
A:<41938> B:<25559>
A:<24712> B:<63684>
A:<65270> B:<9910>
A:<27081> B:<20166>
A:<54596> B:<41816>
A:<57998> B:<10064>
A:<10865> B:<33942>
A:<56135> B:<63640>
A:<30489> B:<26722>
A:<18716> B:<60859>
A:<14641> B:<51866>
A:<54563> B:<53752>
A:<55484> B:<24301>
A:<46940> B:<63805>
A:<39925> B:<32014>
A:<31077> B:<3932>
A:<46106> B:<39753>
A:<61738> B:<21523>
A:<57393> B:<8562>
A:<44273> B:<32066>
A:<40427> B:<57892>
A:<53977> B:<1378>
A:<26739> B:<14661>
A:<44896> B:<12262>
A:<50218> B:<28689>
A:<44928> B:<39045>
A:<54142> B:<48465>
A:<49533> B:<63182>
A:<3275> B:<65508>
A:<24484> B:<54425>
A:<12892> B:<65063>
A:<47233> B:<42189>
A:<24366> B:<65011>
A:<39588> B:<44913>
A:<28151> B:<33184>
A:<61103> B:<40803>
A:<22060> B:<61201>
A:<25581> B:<17016>
A:<41954> B:<47935>
A:<45017> B:<41395>
A:<28569> B:<52937>
A:<50575> B:<61510>
A:<19185> B:<2957>
A:<38267> B:<40318>
A:<55959> B:<20952>
A:<44838> B:<2720>
A:<14935> B:<12375>
A:<37963> B:<29660>
A:<7721> B:<10714>
A:<25715> B:<39397>
A:<6866> B:<7291>
A:<14885> B:<5445>
A:<37973> B:<9341>
A:<46832> B:<8772>
A:<57258> B:<41528>
A:<28604> B:<50083>
A:<41249> B:<37773>
A:<40966> B:<29222>
A:<50444> B:<63250>
A:<50228> B:<54040>
A:<47952> B:<5916>
A:<34063> B:<13535>
A:<65260> B:<41319>
A:<41526> B:<64281>
A:<10140> B:<5244>
A:<53139> B:<59797>
A:<12715> B:<29740>
A:<27357> B:<11050>
A:<19175> B:<18641>
A:<25575> B:<7895>
A:<32722> B:<4080>
A:<41599> B:<34949>
A:<16858> B:<8732>
A:<24762> B:<48775>
A:<46914> B:<42231>
A:<42821> B:<60473>
A:<3104> B:<6006>
A:<44106> B:<5425>
A:<48014> B:<44575>
A:<9997> B:<61263>
A:<54168> B:<6200>
A:<29016> B:<7681>
A:<15103> B:<53353>
A:<59228> B:<8085>
A:<55957> B:<7893>
A:<63353> B:<2090>
A:<29513> B:<12386>
A:<12216> B:<5136>
A:<55231> B:<62116>
A:<53635> B:<1198>
A:<54860> B:<58301>
A:<65452> B:<38683>
A:<50528> B:<10985>
A:<26404> B:<23500>
A:<14186> B:<30928>
A:<40464> B:<18451>
A:<31942> B:<1510>
A:<26377> B:<35603>
A:<58216> B:<10677>
A:<50232> B:<53710>
A:<1540> B:<11766>
A:<8742> B:<5574>
A:<7616> B:<62915>
A:<30494> B:<21988>
A:<15265> B:<19568>
A:<26413> B:<51348>
A:<31694> B:<39892>
A:<64764> B:<1451>
A:<7809> B:<54258>
A:<44934> B:<50757>
A:<27550> B:<44130>
A:<11471> B:<21157>
A:<44959> B:<44537>
A:<43772> B:<46067>
A:<10298> B:<34715>
A:<54081> B:<18283>
A:<10890> B:<45539>
A:<31136> B:<10958>
A:<28446> B:<12785>
A:<14467> B:<5158>
A:<35281> B:<30966>
A:<20019> B:<18452>
A:<28092> B:<35277>
A:<1254> B:<46401>
A:<14839> B:<26447>
A:<20219> B:<12752>
A:<18424> B:<14698>
A:<38391> B:<2902>
A:<35402> B:<26632>
A:<1113> B:<60924>
A:<50545> B:<38465>
A:<34535> B:<21354>
A:<4261> B:<4044>
A:<42508> B:<58716>
A:<45230> B:<39060>
A:<33699> B:<40157>
A:<33094> B:<45847>
A:<18036> B:<36669>
A:<792> B:<62552>
